Creating 3 nodes.
MOBILE: 
node 0 getnode 0x1f1de40 dst-> 0x1ff2cd0 10.0.0.1 source-> 0x1ff30f0
SENSOR: 
seconds interval2
node 1 getnode 0x1f1e3b0 dst-> 0x1ff4910 10.0.0.2 source-> 0x1ff4a70
BASE: 
node 2 getnode 0x1f1e140 dst-> 0x1ff5d00 10.0.0.3 source-> 0x1ff6330
Starting simulation for 2734 s, seed value 12345673
41.5 0 0 0 0 0 870.66 1008.9
41.5 0 0 4 312 0 1053.3 952.67
41.5 0 0 0 0 0 1549.3 262.67
42.5 0 0 0 0 0 870.66 1008.9
42.5 0 0 4 312 0 1053.3 952.67
42.5 0 0 0 0 0 1549.3 262.67
43.5 0 0 0 0 0 870.66 1008.9
43.5 0 0 4 312 0 1053.3 952.67
43.5 0 0 0 0 0 1549.3 262.67
44.5 0 0 0 0 0 870.65 1008.9
44.5 0 0 4 312 0 1053.3 952.67
44.5 0 0 0 0 0 1549.3 262.67
45.5 0 0 0 0 0 870.65 1009
45.5 0 0 4 312 0 1053.3 952.67
45.5 0 0 0 0 0 1549.3 262.67
46.5 0 0 0 0 0 870.65 1009
46.5 0 0 4 312 0 1053.3 952.67
46.5 0 0 0 0 0 1549.3 262.67
47.5 0 0 0 0 0 870.65 1009
47.5 0 0 4 312 0 1053.3 952.67
47.5 0 0 0 0 0 1549.3 262.67
48.5 0 0 0 0 0 870.65 1009
48.5 0 0 4 312 0 1053.3 952.67
48.5 0 0 0 0 0 1549.3 262.67
49.5 0 0 0 0 0 870.64 1009
49.5 0 0 4 312 0 1053.3 952.67
49.5 0 0 0 0 0 1549.3 262.67
At time 50 created bundle with sequence number 1002 from 10.0.0.2 to 10.0.0.3
50.5 0 0 0 0 0 870.64 1009.1
50.5 0 0 5 390 0 1053.3 952.67
50.5 0 0 0 0 0 1549.3 262.67
51.5 0 0 0 0 0 870.64 1009.1
51.5 0 0 5 390 0 1053.3 952.67
51.5 0 0 0 0 0 1549.3 262.67
52.5 0 0 0 0 0 870.64 1009.1
52.5 0 0 5 390 0 1053.3 952.67
52.5 0 0 0 0 0 1549.3 262.67
53.5 0 0 0 0 0 870.64 1009.1
53.5 0 0 5 390 0 1053.3 952.67
53.5 0 0 0 0 0 1549.3 262.67
54.5 0 0 0 0 0 870.63 1009.1
54.5 0 0 5 390 0 1053.3 952.67
54.5 0 0 0 0 0 1549.3 262.67
55.5 0 0 0 0 0 870.63 1009.1
55.5 0 0 5 390 0 1053.3 952.67
55.5 0 0 0 0 0 1549.3 262.67
56.5 0 0 0 0 0 870.63 1009.2
56.5 0 0 5 390 0 1053.3 952.67
56.5 0 0 0 0 0 1549.3 262.67
57.5 0 0 0 0 0 870.63 1009.2
57.5 0 0 5 390 0 1053.3 952.67
57.5 0 0 0 0 0 1549.3 262.67
58.5 0 0 0 0 0 870.63 1009.2
58.5 0 0 5 390 0 1053.3 952.67
58.5 0 0 0 0 0 1549.3 262.67
59.5 0 0 0 0 0 870.62 1009.2
59.5 0 0 5 390 0 1053.3 952.67
59.5 0 0 0 0 0 1549.3 262.67
At time 60 created bundle with sequence number 1203 from 10.0.0.2 to 10.0.0.3
60.5 0 0 0 0 0 870.62 1009.2
60.5 0 0 6 468 0 1053.3 952.67
60.5 0 0 0 0 0 1549.3 262.67
61.5 0 0 0 0 0 870.62 1009.3
61.5 0 0 6 468 0 1053.3 952.67
61.5 0 0 0 0 0 1549.3 262.67
62.5 0 0 0 0 0 870.62 1009.3
62.5 0 0 6 468 0 1053.3 952.67
62.5 0 0 0 0 0 1549.3 262.67
63.5 0 0 0 0 0 870.62 1009.3
63.5 0 0 6 468 0 1053.3 952.67
63.5 0 0 0 0 0 1549.3 262.67
64.5 0 0 0 0 0 870.61 1009.3
64.5 0 0 6 468 0 1053.3 952.67
64.5 0 0 0 0 0 1549.3 262.67
65.5 0 0 0 0 0 870.61 1009.3
65.5 0 0 6 468 0 1053.3 952.67
65.5 0 0 0 0 0 1549.3 262.67
66.5 0 0 0 0 0 870.61 1009.3
66.5 0 0 6 468 0 1053.3 952.67
66.5 0 0 0 0 0 1549.3 262.67
67.5 0 0 0 0 0 870.61 1009.4
67.5 0 0 6 468 0 1053.3 952.67
67.5 0 0 0 0 0 1549.3 262.67
68.5 0 0 0 0 0 870.61 1009.4
68.5 0 0 6 468 0 1053.3 952.67
68.5 0 0 0 0 0 1549.3 262.67
69.5 0 0 0 0 0 870.6 1009.4
69.5 0 0 6 468 0 1053.3 952.67
69.5 0 0 0 0 0 1549.3 262.67
At time 70 created bundle with sequence number 1404 from 10.0.0.2 to 10.0.0.3
70.5 0 0 0 0 0 870.6 1009.4
70.5 0 0 7 546 0 1053.3 952.67
70.5 0 0 0 0 0 1549.3 262.67
71.5 0 0 0 0 0 870.6 1009.4
71.5 0 0 7 546 0 1053.3 952.67
71.5 0 0 0 0 0 1549.3 262.67
72.5 0 0 0 0 0 870.6 1009.5
72.5 0 0 7 546 0 1053.3 952.67
72.5 0 0 0 0 0 1549.3 262.67
73.5 0 0 0 0 0 870.6 1009.5
73.5 0 0 7 546 0 1053.3 952.67
73.5 0 0 0 0 0 1549.3 262.67
74.5 0 0 0 0 0 870.59 1009.5
74.5 0 0 7 546 0 1053.3 952.67
74.5 0 0 0 0 0 1549.3 262.67
75.5 0 0 0 0 0 870.59 1009.5
