Creating 4 nodes.
MOBILE: 
0: [10.0.0.8, 50, 300, 101, 102, 101, 102, 101, 102, 101, 102, 0]
1: [10.0.0.2, -, 0, -, -, -, -, -, -, -, -, 1]
2: [10.0.0.3, -, -, -, -, -, -, -, -, -, -, 0]


node 0 getnode 0x159ee40 dst-> 0x167a270 10.0.0.1 source-> 0x167a440
SENSOR: 
seconds interval2
node 1 getnode 0x159f3b0 dst-> 0x167baf0 10.0.0.2 source-> 0x167bf10
SENSOR: 
seconds interval1
node 2 getnode 0x159f140 dst-> 0x167d120 10.0.0.3 source-> 0x167d7d0
BASE: 
node 3 getnode 0x159f230 dst-> 0x167ee30 10.0.0.4 source-> 0x167f250
Starting simulation for 800 s, seed value 12345671
29.5 0 0 0 0 0 867.58 1005.3
29.5 0 0 2 202 0 1053.3 952.67
29.5 0 0 5 480 0 1100 726
29.5 0 0 0 0 0 1549.3 262.67
At time 30 created bundle with sequence number 605 from 10.0.0.2 to 10.0.0.4
At time 30 created bundle with sequence number 606 from 10.0.0.3 to 10.0.0.4
30.5 0 0 0 0 0 867.58 1005.7
30.5 0 0 3 303 0 1053.3 952.67
30.5 0 0 6 576 0 1100 726
30.5 0 0 0 0 0 1549.3 262.67
31.5 0 0 0 0 0 867.54 1005.8
31.5 0 0 3 303 0 1053.3 952.67
31.5 0 0 6 576 0 1100 726
31.5 0 0 0 0 0 1549.3 262.67
32.5 0 0 0 0 0 867.58 1005.8
32.5 0 0 3 303 0 1053.3 952.67
32.5 0 0 6 576 0 1100 726
32.5 0 0 0 0 0 1549.3 262.67
33.5 0 0 0 0 0 867.75 1005.8
33.5 0 0 3 303 0 1053.3 952.67
33.5 0 0 6 576 0 1100 726
33.5 0 0 0 0 0 1549.3 262.67
34.5 0 0 0 0 0 868.25 1005.8
34.5 0 0 3 303 0 1053.3 952.67
34.5 0 0 6 576 0 1100 726
34.5 0 0 0 0 0 1549.3 262.67
At time 35 created bundle with sequence number 707 from 10.0.0.3 to 10.0.0.4
35.5 0 0 0 0 0 868.75 1005.7
35.5 0 0 3 303 0 1053.3 952.67
35.5 0 0 7 672 0 1100 726
35.5 0 0 0 0 0 1549.3 262.67
36.5 0 0 0 0 0 868.96 1006.1
36.5 0 0 3 303 0 1053.3 952.67
36.5 0 0 7 672 0 1100 726
36.5 0 0 0 0 0 1549.3 262.67
37.5 0 0 0 0 0 869.25 1007.1
37.5 0 0 3 303 0 1053.3 952.67
37.5 0 0 7 672 0 1100 726
37.5 0 0 0 0 0 1549.3 262.67
38.5 0 0 0 0 0 869.67 1007.8
38.5 0 0 3 303 0 1053.3 952.67
38.5 0 0 7 672 0 1100 726
38.5 0 0 0 0 0 1549.3 262.67
39.5 0 0 0 0 0 870.25 1008.4
39.5 0 0 3 303 0 1053.3 952.67
39.5 0 0 7 672 0 1100 726
39.5 0 0 0 0 0 1549.3 262.67
At time 40 created bundle with sequence number 808 from 10.0.0.2 to 10.0.0.4
At time 40 created bundle with sequence number 809 from 10.0.0.3 to 10.0.0.4
40.5 0 0 0 0 0 870.66 1008.9
40.5 0 0 4 404 0 1053.3 952.67
40.5 0 0 8 768 0 1100 726
40.5 0 0 0 0 0 1549.3 262.67
41.5 0 0 0 0 0 870.66 1008.9
41.5 0 0 4 404 0 1053.3 952.67
41.5 0 0 8 768 0 1100 726
41.5 0 0 0 0 0 1549.3 262.67
42.5 0 0 0 0 0 870.66 1008.9
42.5 0 0 4 404 0 1053.3 952.67
42.5 0 0 8 768 0 1100 726
42.5 0 0 0 0 0 1549.3 262.67
43.5 0 0 0 0 0 870.66 1008.9
43.5 0 0 4 404 0 1053.3 952.67
43.5 0 0 8 768 0 1100 726
43.5 0 0 0 0 0 1549.3 262.67
44.5 0 0 0 0 0 870.65 1008.9
44.5 0 0 4 404 0 1053.3 952.67
44.5 0 0 8 768 0 1100 726
44.5 0 0 0 0 0 1549.3 262.67
At time 45 created bundle with sequence number 910 from 10.0.0.3 to 10.0.0.4
45.5 0 0 0 0 0 870.65 1009
45.5 0 0 4 404 0 1053.3 952.67
45.5 0 0 9 864 0 1100 726
45.5 0 0 0 0 0 1549.3 262.67
46.5 0 0 0 0 0 870.65 1009
46.5 0 0 4 404 0 1053.3 952.67
46.5 0 0 9 864 0 1100 726
46.5 0 0 0 0 0 1549.3 262.67
47.5 0 0 0 0 0 870.65 1009
47.5 0 0 4 404 0 1053.3 952.67
47.5 0 0 9 864 0 1100 726
47.5 0 0 0 0 0 1549.3 262.67
48.5 0 0 0 0 0 870.65 1009
48.5 0 0 4 404 0 1053.3 952.67
48.5 0 0 9 864 0 1100 726
48.5 0 0 0 0 0 1549.3 262.67
49.5 0 0 0 0 0 870.64 1009
49.5 0 0 4 404 0 1053.3 952.67
49.5 0 0 9 864 0 1100 726
49.5 0 0 0 0 0 1549.3 262.67
At time 50 created bundle with sequence number 1011 from 10.0.0.2 to 10.0.0.4
At time 50 created bundle with sequence number 1012 from 10.0.0.3 to 10.0.0.4
50.5 0 0 0 0 0 870.64 1009.1
50.5 0 0 5 505 0 1053.3 952.67
50.5 0 0 10 960 0 1100 726
50.5 0 0 0 0 0 1549.3 262.67
51.5 0 0 0 0 0 870.64 1009.1
51.5 0 0 5 505 0 1053.3 952.67
51.5 0 0 10 960 0 1100 726
51.5 0 0 0 0 0 1549.3 262.67
52.5 0 0 0 0 0 870.64 1009.1
52.5 0 0 5 505 0 1053.3 952.67
52.5 0 0 10 960 0 1100 726
52.5 0 0 0 0 0 1549.3 262.67
53.5 0 0 0 0 0 870.64 1009.1
53.5 0 0 5 505 0 1053.3 952.67
53.5 0 0 10 960 0 1100 726
53.5 0 0 0 0 0 1549.3 262.67
54.5 0 0 0 0 0 870.63 1009.1
54.5 0 0 5 505 0 1053.3 952.67
54.5 0 0 10 960 0 1100 726
54.5 0 0 0 0 0 1549.3 262.67
At time 55 created bundle with sequence number 1113 from 10.0.0.3 to 10.0.0.4
55.5 0 0 0 0 0 870.63 1009.1
55.5 0 0 5 505 0 1053.3 952.67
55.5 0 0 11 1056 0 1100 726
55.5 0 0 0 0 0 1549.3 262.67
56.5 0 0 0 0 0 870.63 1009.2
56.5 0 0 5 505 0 1053.3 952.67
56.5 0 0 11 1056 0 1100 726
56.5 0 0 0 0 0 1549.3 262.67
57.5 0 0 0 0 0 870.63 1009.2
57.5 0 0 5 505 0 1053.3 952.67
57.5 0 0 11 1056 0 1100 726
57.5 0 0 0 0 0 1549.3 262.67
58.5 0 0 0 0 0 870.63 1009.2
58.5 0 0 5 505 0 1053.3 952.67
58.5 0 0 11 1056 0 1100 726
58.5 0 0 0 0 0 1549.3 262.67
59.5 0 0 0 0 0 870.62 1009.2
59.5 0 0 5 505 0 1053.3 952.67
59.5 0 0 11 1056 0 1100 726
59.5 0 0 0 0 0 1549.3 262.67
At time 60 created bundle with sequence number 1214 from 10.0.0.2 to 10.0.0.4
At time 60 created bundle with sequence number 1215 from 10.0.0.3 to 10.0.0.4
60.5 0 0 0 0 0 870.62 1009.2
60.5 0 0 6 606 0 1053.3 952.67
60.5 0 0 12 1152 0 1100 726
60.5 0 0 0 0 0 1549.3 262.67
61.5 0 0 0 0 0 870.62 1009.3
61.5 0 0 6 606 0 1053.3 952.67
61.5 0 0 12 1152 0 1100 726
61.5 0 0 0 0 0 1549.3 262.67
62.5 0 0 0 0 0 870.62 1009.3
62.5 0 0 6 606 0 1053.3 952.67
62.5 0 0 12 1152 0 1100 726
62.5 0 0 0 0 0 1549.3 262.67
63.5 0 0 0 0 0 870.62 1009.3
63.5 0 0 6 606 0 1053.3 952.67
63.5 0 0 12 1152 0 1100 726
63.5 0 0 0 0 0 1549.3 262.67
64.5 0 0 0 0 0 870.61 1009.3
64.5 0 0 6 606 0 1053.3 952.67
64.5 0 0 12 1152 0 1100 726
64.5 0 0 0 0 0 1549.3 262.67
At time 65 created bundle with sequence number 1316 from 10.0.0.3 to 10.0.0.4
65.5 0 0 0 0 0 870.61 1009.3
65.5 0 0 6 606 0 1053.3 952.67
65.5 0 0 13 1248 0 1100 726
65.5 0 0 0 0 0 1549.3 262.67
66.5 0 0 0 0 0 870.61 1009.3
66.5 0 0 6 606 0 1053.3 952.67
66.5 0 0 13 1248 0 1100 726
66.5 0 0 0 0 0 1549.3 262.67
67.5 0 0 0 0 0 870.61 1009.4
67.5 0 0 6 606 0 1053.3 952.67
67.5 0 0 13 1248 0 1100 726
67.5 0 0 0 0 0 1549.3 262.67
68.5 0 0 0 0 0 870.61 1009.4
68.5 0 0 6 606 0 1053.3 952.67
68.5 0 0 13 1248 0 1100 726
68.5 0 0 0 0 0 1549.3 262.67
