+16000000000.0ns; NODE: 0; POS: x=1401.55, y=834.008, z=0; VEL: x=16.427, y=-4.77927, z=0
+16249999932.0ns; NODE: 0; POS: x=1405.66, y=832.813, z=0; VEL: x=0, y=0, z=0
+16500000000.0ns; NODE: 0; POS: x=1405.66, y=832.813, z=0; VEL: x=18.1894, y=-3.19659, z=0
+16750000034.0ns; NODE: 0; POS: x=1410.21, y=832.014, z=0; VEL: x=0, y=0, z=0
+17000000000.0ns; NODE: 0; POS: x=1410.21, y=832.014, z=0; VEL: x=14.6651, y=-5.86726, z=0
+17249999939.0ns; NODE: 0; POS: x=1413.87, y=830.547, z=0; VEL: x=0, y=0, z=0
+17500000000.0ns; NODE: 0; POS: x=1413.87, y=830.547, z=0; VEL: x=13.7736, y=-7.76494, z=0
+17750000003.0ns; NODE: 0; POS: x=1417.32, y=828.606, z=0; VEL: x=0, y=0, z=0
+18000000000.0ns; NODE: 0; POS: x=1417.32, y=828.606, z=0; VEL: x=13.8417, y=-9.119, z=0
+18250000044.0ns; NODE: 0; POS: x=1420.78, y=826.326, z=0; VEL: x=0, y=0, z=0
+18500000000.0ns; NODE: 0; POS: x=1420.78, y=826.326, z=0; VEL: x=13.5691, y=-10.2194, z=0
+18750000048.0ns; NODE: 0; POS: x=1424.17, y=823.771, z=0; VEL: x=0, y=0, z=0
+19000000000.0ns; NODE: 0; POS: x=1424.17, y=823.771, z=0; VEL: x=11.7601, y=-11.242, z=0
+19249999956.0ns; NODE: 0; POS: x=1427.11, y=820.96, z=0; VEL: x=0, y=0, z=0
+19500000000.0ns; NODE: 0; POS: x=1427.11, y=820.96, z=0; VEL: x=9.90175, y=-12.115, z=0
+19750000025.0ns; NODE: 0; POS: x=1429.58, y=817.932, z=0; VEL: x=0, y=0, z=0
+20000000000.0ns; NODE: 0; POS: x=1429.58, y=817.932, z=0; VEL: x=5.48004, y=-13.4687, z=0
+20249999926.0ns; NODE: 0; POS: x=1430.95, y=814.564, z=0; VEL: x=0, y=0, z=0
+20500000000.0ns; NODE: 0; POS: x=1430.95, y=814.564, z=0; VEL: x=9.16446, y=-14.6085, z=0
+20750000019.0ns; NODE: 0; POS: x=1433.25, y=810.912, z=0; VEL: x=0, y=0, z=0
+21000000000.0ns; NODE: 0; POS: x=1433.25, y=810.912, z=0; VEL: x=4.34417, y=-16.2185, z=0
+21250000046.0ns; NODE: 0; POS: x=1434.33, y=806.858, z=0; VEL: x=0, y=0, z=0
+21500000000.0ns; NODE: 0; POS: x=1434.33, y=806.858, z=0; VEL: x=2.0599, y=-16.7116, z=0
+21749999993.0ns; NODE: 0; POS: x=1434.85, y=802.68, z=0; VEL: x=0, y=0, z=0
+22000000000.0ns; NODE: 0; POS: x=1434.85, y=802.68, z=0; VEL: x=-0.711897, y=-17.374, z=0
